iter	Passed	Remaining
0	47	47453
1	47	23867
2	48	16000
3	48	12050
4	48	9681
5	48	8096
6	49	6960
7	49	6108
8	49	5444
9	49	4913
10	49	4479
11	50	4118
12	50	3811
13	50	3548
14	50	3324
15	50	3124
16	50	2947
17	51	2790
18	51	2649
19	51	2523
20	51	2408
21	51	2306
22	52	2215
23	52	2129
24	52	2049
25	52	1975
26	52	1906
27	53	1843
28	53	1784
29	53	1730
30	53	1679
31	53	1632
32	54	1586
33	54	1543
34	54	1503
35	54	1466
36	54	1430
37	55	1395
38	55	1363
39	55	1332
40	55	1302
41	55	1274
42	56	1247
43	56	1221
44	56	1197
45	56	1174
46	56	1152
47	57	1130
48	57	1110
49	57	1090
50	57	1071
51	57	1052
52	57	1034
53	58	1017
54	58	1001
55	58	985
56	58	970
57	58	956
58	59	943
59	59	929
60	59	916
61	59	904
62	59	891
63	60	879
64	60	868
65	60	857
66	60	847
67	60	834
68	61	824
69	61	815
70	61	805
71	61	796
72	61	786
73	62	777
74	62	768
75	62	760
76	62	751
77	62	743
78	63	735
79	63	728
80	63	721
81	63	713
82	63	706
83	64	699
84	64	692
85	64	686
86	64	678
87	64	672
88	65	665
89	65	660
90	65	654
91	65	648
92	65	643
93	66	637
94	66	631
95	66	626
96	66	620
97	66	615
98	67	610
99	67	604
100	67	599
101	67	593
102	67	589
103	67	584
104	68	580
105	68	575
106	68	571
107	68	567
108	68	563
109	69	559
110	69	555
111	69	551
112	69	547
113	69	543
114	70	539
115	70	535
116	70	532
117	70	528
118	70	524
119	71	521
120	71	517
121	71	514
122	71	510
123	71	507
124	72	504
125	72	500
126	72	497
127	72	494
128	72	490
129	72	487
130	73	484
131	73	481
132	73	478
133	73	475
134	73	472
135	73	469
136	74	467
137	74	463
138	74	461
139	74	459
140	74	456
141	75	454
142	75	451
143	75	449
144	75	446
145	76	444
146	76	442
147	76	440
148	76	437
149	76	435
150	76	432
151	77	432
152	77	430
153	77	428
154	78	425
155	78	423
156	78	421
157	78	419
158	78	417
159	79	415
160	79	413
161	79	411
162	79	409
163	79	407
164	80	405
165	80	403
166	80	401
167	80	399
168	80	397
169	81	395
170	81	393
171	81	391
172	81	389
173	81	388
174	81	386
175	82	384
176	82	382
177	82	381
178	82	379
179	82	378
180	83	375
181	83	374
182	83	372
183	83	371
184	83	369
185	84	368
186	84	366
187	84	365
188	84	363
189	85	362
190	85	361
191	85	359
192	85	358
193	85	356
194	86	355
195	86	353
196	86	352
197	86	350
198	86	349
199	87	348
200	87	346
201	87	345
202	87	344
203	87	342
204	88	341
205	88	340
206	88	339
207	88	337
208	88	336
209	89	335
210	89	334
211	89	332
212	89	332
213	90	330
214	90	329
215	90	328
216	90	327
217	90	326
218	91	324
219	91	323
220	91	322
221	91	321
222	91	320
223	92	318
224	92	317
225	92	316
226	92	315
227	92	314
228	93	313
229	93	312
230	93	310
231	93	309
232	93	308
233	93	307
234	94	306
235	94	305
236	94	304
237	94	303
238	95	302
239	95	301
240	95	300
241	95	299
242	95	298
243	95	297
244	96	296
245	96	295
246	96	294
247	96	293
248	96	292
249	97	291
250	97	290
251	97	289
252	97	288
253	97	287
254	97	286
255	98	285
256	98	284
257	98	283
258	98	282
259	98	281
260	98	280
261	99	279
262	99	278
263	99	277
264	99	276
265	99	275
266	100	274
267	100	273
268	100	272
269	100	271
270	100	271
271	101	270
272	101	269
273	101	269
274	101	268
275	101	267
276	102	266
277	102	265
278	102	264
279	102	264
280	102	263
281	103	262
282	103	261
283	103	261
284	103	260
285	103	259
286	104	258
287	104	257
288	104	257
289	104	256
290	104	255
291	105	254
292	105	254
293	105	253
294	105	252
295	105	251
296	106	251
297	106	250
298	106	249
299	106	249
300	106	248
301	107	247
302	107	246
303	107	246
304	107	245
305	107	244
306	108	244
307	108	243
308	108	242
309	108	242
310	108	241
311	109	240
312	109	239
313	109	239
314	109	238
315	109	237
316	110	237
317	110	236
318	110	235
319	110	235
320	110	234
321	110	233
322	111	233
323	111	232
324	111	231
325	111	231
326	111	230
327	112	229
328	112	229
329	112	228
330	112	227
331	113	227
332	113	226
333	113	226
334	113	225
335	113	225
336	114	224
337	114	223
338	114	223
339	114	222
340	114	222
341	115	221
342	115	221
343	115	220
344	115	219
