iter	Passed	Remaining
0	45	45875
1	46	23004
2	46	15425
3	46	11666
4	47	9379
5	47	7860
6	47	6767
7	47	5941
8	48	5297
9	48	4782
10	48	4362
11	48	4011
12	48	3716
13	49	3460
14	49	3237
15	49	3043
16	49	2872
17	49	2719
18	50	2583
19	50	2460
20	50	2348
21	50	2246
22	50	2154
23	50	2071
24	51	1994
25	51	1924
26	51	1858
27	51	1798
28	52	1741
29	52	1688
30	52	1638
31	52	1591
32	52	1548
33	53	1508
34	53	1469
35	53	1431
36	53	1398
37	53	1365
38	54	1334
39	54	1304
40	54	1276
41	54	1249
42	55	1224
43	55	1200
44	55	1177
45	55	1154
46	55	1132
47	56	1112
48	56	1092
49	56	1074
50	56	1055
51	56	1038
52	57	1021
53	57	1004
54	57	988
55	57	972
56	57	957
57	58	943
58	58	929
59	58	915
60	58	902
61	58	889
62	58	877
63	59	865
64	59	853
65	59	841
66	59	830
67	59	820
68	60	809
69	60	799
70	60	789
71	60	780
72	60	770
73	60	761
74	61	752
75	61	744
76	61	735
77	61	727
78	61	719
79	61	711
80	62	704
81	62	697
82	62	689
83	62	682
84	62	675
85	62	668
86	63	662
87	63	655
88	63	649
89	63	643
90	63	637
91	63	631
92	64	625
93	64	619
94	64	613
95	64	608
96	64	603
97	64	597
98	65	592
99	65	587
100	65	582
101	65	578
102	65	573
103	66	569
104	66	564
105	66	560
106	66	556
107	66	552
108	67	548
109	67	544
110	67	541
111	67	537
112	67	533
113	68	529
114	68	525
115	68	521
116	68	517
117	68	513
118	68	510
119	69	506
120	69	503
121	69	499
122	69	495
123	69	492
124	69	489
125	70	486
126	70	482
127	70	479
128	70	476
129	71	475
130	71	472
131	71	469
132	71	466
133	71	463
134	71	460
135	72	457
136	72	455
137	72	452
138	72	450
139	72	447
140	73	445
141	73	442
142	73	440
143	73	437
144	73	435
145	74	433
146	74	430
147	74	428
148	74	426
149	74	424
150	75	421
151	75	419
152	75	417
153	75	415
154	75	413
155	76	411
156	76	409
157	76	407
158	76	405
159	76	403
160	77	401
161	77	399
162	77	397
163	77	396
164	77	394
165	78	392
166	78	390
167	78	388
168	78	387
169	78	385
170	79	383
171	79	382
172	79	380
173	79	378
174	80	377
175	80	375
176	80	373
177	80	372
178	80	370
179	81	369
180	81	367
181	81	366
182	81	364
183	81	363
184	82	361
185	82	359
186	82	358
187	82	356
188	82	355
189	82	353
190	83	352
191	83	350
192	83	349
193	83	347
194	83	346
195	84	344
196	84	343
197	84	341
198	84	340
199	84	338
200	84	337
201	85	336
202	85	335
203	85	334
204	85	333
205	86	331
206	86	330
207	86	329
208	86	328
209	86	327
210	87	325
211	87	324
212	87	323
213	87	322
214	87	321
215	88	320
216	88	318
217	88	317
218	88	316
219	89	315
220	89	314
221	89	313
222	89	312
223	89	311
224	90	310
225	90	309
226	90	308
227	90	307
228	90	306
229	91	305
230	91	304
231	91	303
232	91	302
233	92	301
234	92	300
235	92	299
236	92	298
237	93	297
238	93	296
239	93	295
240	93	294
241	93	293
242	94	292
243	94	291
244	94	291
245	94	290
246	94	289
247	95	288
248	95	287
249	95	286
250	95	285
251	95	284
252	96	283
253	96	282
254	96	281
255	96	281
256	97	280
257	97	280
258	97	279
259	97	278
260	97	277
261	98	276
262	98	275
263	98	274
264	98	273
265	98	273
266	99	272
267	99	271
268	99	270
269	99	269
270	99	268
271	100	267
272	100	266
273	100	266
274	100	265
275	100	264
276	101	263
277	101	262
278	101	262
279	101	261
280	101	260
281	102	259
282	102	259
283	102	258
284	102	257
285	102	256
286	103	256
287	103	255
288	103	254
289	103	254
290	103	253
291	104	252
292	104	251
293	104	251
294	104	250
295	105	249
296	105	249
297	105	248
298	105	247
299	105	247
300	106	246
301	106	245
302	106	244
303	106	244
304	106	243
305	107	242
306	107	242
307	107	241
308	111	248
309	111	248
310	111	247
311	111	246
312	111	245
313	112	244
314	112	244
315	112	243
316	112	242
317	112	242
318	113	241
319	113	241
320	113	240
321	113	239
322	114	238
323	114	238
324	114	237
325	114	237
326	114	236
327	115	235
328	115	235
329	115	234
330	115	233
331	115	233
332	116	232
333	116	231
334	116	231
335	116	230
336	116	230
337	117	229
338	117	228
339	117	228
340	117	227
341	118	227
342	118	226
343	118	226
344	118	225
345	118	224
346	119	224
347	119	223
348	119	222
349	119	222
350	119	221
351	120	220
352	120	220
353	120	219
354	120	219
355	120	218
356	120	217
357	121	217
358	121	216
359	121	216
360	121	215
361	121	214
362	122	214
363	122	213
364	122	213
365	122	212
366	122	211
367	123	211
368	123	210
369	123	210
370	123	209
371	123	208
372	123	208
373	124	207
374	124	207
375	124	206
376	124	206
377	124	205
378	125	204
379	125	204
380	125	203
381	125	203
382	125	202
383	126	202
384	126	201
385	126	201
386	126	200
387	126	200
388	127	199
389	127	199
390	127	198
391	127	198
392	127	197
393	128	197
394	128	196
395	128	196
396	128	195
397	128	194
398	129	194
399	129	193
400	129	193
401	129	192
402	129	192
403	129	191
404	130	191
405	130	190
406	130	190
407	130	189
408	130	189
409	130	188
410	131	187
411	131	187
412	131	187
413	131	186
414	131	186
415	132	185
416	132	185
417	132	184
418	132	184
419	133	183
420	133	183
421	133	182
422	133	182
423	133	181
424	134	181
425	134	180
426	134	180
427	134	179
428	134	179
429	134	178
430	135	178
431	135	177
432	135	177
433	135	176
434	135	176
435	136	176
436	136	175
437	136	175
438	136	174
439	136	174
440	137	173
441	137	173
442	137	172
443	137	172
444	137	171
445	137	171
446	138	170
447	138	170
448	138	169
449	138	169
450	138	168
451	139	168
452	139	168
453	139	167
454	139	167
455	139	166
456	139	166
457	140	165
458	140	165
459	140	164
460	140	164
461	140	163
462	140	163
463	141	163
464	141	162
465	141	162
466	141	161
467	141	161
468	141	160
469	142	160
470	142	159
471	142	159
472	142	158
473	142	158
474	143	158
475	143	157
476	143	157
477	143	156
478	143	156
479	143	155
480	144	155
481	144	154
482	144	154
483	144	154
484	144	153
485	144	153
486	145	152
487	145	152
488	145	152
489	146	152
490	146	151
491	146	151
492	146	151
493	147	150
494	147	150
495	147	149
496	147	149
497	147	149
498	148	148
499	148	148
500	148	147
501	148	147
502	148	147
503	149	146
504	149	146
505	149	145
506	149	145
507	149	144
508	149	144
509	150	144
510	150	143
511	150	143
